,cnpj,razao_social,id_municipio,peso_cobre_ajustado,valor_fob_ajustado,total_peso_municipio,total_valor_fob_municipio
520,23637987000155,SUPER HARD TECNOLOGIA EM TRATAMENTO DE SUPERFICIES LTDA,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
521,27141790000181,V&T BOLSAS E ACESSORIOS EIRELI,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
522,25481094000199,WW UNIFORMES PROFISSIONAIS LTDA,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
523,30881798000199,A.L. COLETA EXPORTACAO E IMPORTACAO,3127701,1128.673076923077,7623.788461538462,6649043,14211456
524,17920618000172,AFS GEMAS LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
525,35849604000191,AM GEMSTONES COMERCIO DE PEDRAS PRECIOSAS LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
526,35499137000117,ANGULAR STONE IMPORTACAO E EXPORTACAO DE PEDRAS PRECIOSAS LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
527,24110563000109,BERILCO COMERCIO DE BERILO LTDA - ME,3127701,1128.673076923077,7623.788461538462,6649043,14211456
528,86660610000137,CONFECCOES MOON RIVER LTDA - ME,3127701,1128.673076923077,7623.788461538462,6649043,14211456
529,24761623000145,CRISTAIS PROSPERITY COMERCIO DE PEDRAS LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
530,11175004000127,CRYSTAL MIX BRASIL LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
531,18693132000101,FABRICA DE VELAS JOAO PAULO II LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
532,31319725000170,"GEMZ JOIAS COMERCIO, IMPORTACAO E EXPORTACAO DE PEDRAS E JOIAS EIRELI",3127701,1128.673076923077,7623.788461538462,6649043,14211456
533,21106708000100,GISLANDO BATISTA DIAS,3127701,1128.673076923077,7623.788461538462,6649043,14211456
534,23256886000134,INDUSTRIA E COMERCIO DE AGUARDENTE ITATINGA LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
535,22551592000172,IRMAOS RABELO GEMAS LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
536,20956074000103,ITA BUSINESS IMPORTACAO E EXPORTACAO LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
537,35380972000133,JS COMERCIO DE GEMAS EIRELI,3127701,1128.673076923077,7623.788461538462,6649043,14211456
